,Position,Artist,Song Title,artist_pop,track_pop
389,87,Bad Bunny and  Bomba Estereo,Ojitos Lindos,0,0
390,88,Jason Aldean,Trouble With A Heartbreak,0,0
391,89,Burl Ives,A Holly Jolly Christmas,0,0
392,90,Doja Cat  and  SZA,Kiss Me More,0,0
393,91,Russell Dickerson and  Jake Scott,She Likes It,0,0
394,92,Cole Swindell / Lainey Wilson,Never Say Never,0,0
395,93,Scotty McCreery,Damn Strait,0,0
396,94,Tate McRae,She's All I Wanna Be,0,0
397,95,Jon Pardi,Last Night Lonely,0,0
398,96,ERNEST  and  Morgan Wallen,Flower Shops,0,0
399,97,JNR CHOI and  Sam Tompkins,To The Moon!,0,0
400,98,Sam Smith and  Kim Petras,Unholy,0,0
401,99,Kane Brown,One Mississippi,0,0
402,100,Maren Morris,Circles Around This Town,0,0
403,,,,,
